# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0008023	e	transcription elongation factor complex	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P32558,P36053	
GO:0008026	e	ATP-dependent helicase activity	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P20095,P36009,Q04217	P15938,P20095,P36009,Q04217
GO:0008033	e	tRNA processing	9/1159	7/1159	0.803	2.07e+03	1.65e+03	2.02e+03	n.a.	P15646,P33399,P38336,P41812,P53833,P53905,Q00416,Q01329,Q06406	P08425,P15646,P28005,P33399,P33418,P38203,P38208,P38291,P38336,P38786,P40070,P40089,P41812,P46984,P47093,P53215,P53218,P53323,P53720,P53833,P53905,P57743,Q00416,Q01329,Q03705,Q06406,Q08924,Q3E833
GO:0008047	p	enzyme activator activity	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40151,P46672,P53165	P25293,P34226,P36044,P38822,P40151,P41697,P41818,P46672,P53165,P53255,P53335,Q02685,Q03067,Q06389,Q08096,Q12315,Q12517,Q3E790,Q6WNK7
GO:0008080	e	N-acetyltransferase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P53914	
GO:0008081	e	phosphoric diester hydrolase activity	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P17442,P22936	P17442,P22936,P38207,Q07716
GO:0008092	p	cytoskeletal protein binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P25343	P25343,P39743,Q05080
GO:0008094	e	DNA-dependent ATPase activity	5/1159	2/1159	0.452	1.16e+03	1.07e+03	1.14e+03	n.a.	P22082,P32597,P32657,P38086,Q00416	P06779,P22082,P25454,P25846,P31380,P32597,P32657,P32849,P38086,P53236,Q00416,Q08562
GO:0008097	e	5S rRNA binding	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P26321,P36160	P26321,P36160,Q08235
GO:0008104	e	protein localization	6/1159	4/1159	0.753	1.94e+03	1.58e+03	1.89e+03	n.a.	P15705,P15891,P40316,P43585,P53141,P53252	P15705,P15891,P22216,P25339,P39526,P43585,P53141,P53252,Q08826
GO:0008106	p	alcohol dehydrogenase (NADP+) activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04894	Q04894
GO:0008113	e	peptide-methionine (S)-S-oxide reductase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P40029	
GO:0008121	p	ubiquinol-cytochrome-c reductase activity	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P07256,P07257	P00127,P00128,P07256,P07257,P08067,P08525,P37299
GO:0008134	e	transcription factor binding	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	Q03063,Q03373,Q08923	P14681,P42845,Q03063,Q03373,Q07923,Q08923,Q12275
GO:0008137	e	NADH dehydrogenase (ubiquinone) activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P32340	
GO:0008139	p	nuclear localization sequence binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P40069	P32337,P38217,P38748,P40069,Q99189
GO:0008142	p	oxysterol binding	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q02201	P35843,P35844,P35845,P38713,P38755,Q02201,Q12451
GO:0008143	p	poly(A) binding	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P04147,P47047,Q01560	P04147,P32505,P40032,P40561,P47047,Q01560
GO:0008144	p	drug binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P35169	P32476,P32600,P35169
GO:0008150	p	biological_process	66/1159	93/1159	0.0324	83.3	82.5	81.2	n.a.	P0C5N3,P16547,P25366,P25617,P25631,P28817,P35719,P35723,P35725,P36141,P36151,P36154,P38197,P38202,P38219,P38256,P38281,P38626,P38777,P38845,P38884,P39533,P39959,P40002,P40053,P40081,P40093,P40154,P40206,P40470,P42938,P42940,P47089,P47148,P50094,P50104,P53081,P53219,P53278,P53723,P53883,P53889,P53981,Q03102,Q03281,Q03362,Q03629,Q03759,Q04170,Q04223,Q04371,Q05948,Q06089,Q06177,Q06252,Q06494,Q06673,Q08687,Q08742,Q08822,Q08971,Q12305,Q12335,Q12480,Q12496,Q12515	A5Z2X5,O13585,O43137,P0C5N3,P10356,P16547,P18411,P18634,P23285,P25334,P25349,P25355,P25361,P25366,P25367,P25617,P25631,P25654,P25659,P28003,P28817,P32472,P32525,P32564,P32618,P32643,P32770,P32788,P32792,P32857,P32900,P33324,P34224,P34228,P34234,P34250,P34251,P35176,P35719,P35723,P35725,P36004,P36034,P36069,P36075,P36081,P36090,P36097,P36103,P36114,P36119,P36138,P36141,P36151,P36154,P36168,P36973,P37263,P38070,P38079,P38081,P38162,P38164,P38172,P38177,P38197,P38202,P38213,P38216,P38219,P38234,P38235,P38239,P38243,P38244,P38254,P38256,P38271,P38277,P38278,P38281,P38284,P38288,P38305,P38306,P38318,P38321,P38331,P38335,P38354,P38355,P38430,P38626,P38690,P38693,P38723,P38738,P38745,P38746,P38747,P38775,P38777,P38809,P38815,P38845,P38851,P38852,P38854,P38870,P38884,P38885,P38887,P39529,P39533,P39538,P39542,P39547,P39713,P39721,P39724,P39931,P39955,P39965,P39977,P39994,P39996,P40002,P40006,P40008,P40022,P40037,P40045,P40050,P40052,P40053,P40081,P40093,P40098,P40152,P40154,P40157,P40159,P40206,P40214,P40218,P40219,P40328,P40361,P40364,P40442,P40449,P40467,P40470,P40476,P40483,P40502,P40508,P40523,P40560,P40566,P40579,P40580,P40892,P40893,P40962,P42840,P42936,P42938,P42940,P42942,P43560,P43564,P43582,P43590,P43597,P43599,P43615,P43620,P46151,P46949,P46992,P46997,P46998,P47007,P47016,P47018,P47031,P47048,P47065,P47072,P47084,P47085,P47086,P47089,P47129,P47131,P47139,P47140,P47148,P47159,P47166,P47168,P47173,P48236,P48362,P48564,P49954,P50089,P50094,P50109,P50896,P52892,P53009,P53066,P53077,P53081,P53093,P53107,P53108,P53110,P53111,P53120,P53133,P53137,P53139,P53144,P53155,P53171,P53174,P53185,P53191,P53206,P53210,P53212,P53217,P53219,P53228,P53242,P53253,P53270,P53273,P53274,P53275,P53278,P53289,P53316,P53326,P53344,P53584,P53723,P53728,P53729,P53736,P53870,P53878,P53883,P53889,P53891,P53907,P53925,P53932,P53947,P53949,P53952,P53960,P53962,P53971,P53980,P53981,P54858,P56508,Q02202,Q02209,Q02606,Q02754,Q02770,Q02799,Q02831,Q02872,Q02873,Q03083,Q03102,Q03177,Q03208,Q03219,Q03236,Q03281,Q03361,Q03362,Q03441,Q03508,Q03559,Q03629,Q03648,Q03655,Q03673,Q03695,Q03722,Q03730,Q03735,Q03759,Q03780,Q03786,Q03787,Q03798,Q03823,Q03897,Q04007,Q04033,Q04093,Q04170,Q04201,Q04223,Q04304,Q04336,Q04371,Q04408,Q04431,Q04471,Q04489,Q04585,Q04602,Q04689,Q04748,Q04835,Q04991,Q05015,Q05016,Q05024,Q05518,Q05854,Q05867,Q05881,Q05926,Q05937,Q05948,Q06011,Q06089,Q06107,Q06146,Q06152,Q06170,Q06177,Q06179,Q06247,Q06251,Q06252,Q06315,Q06436,Q06479,Q06494,Q06522,Q06523,Q06608,Q06616,Q06644,Q06668,Q06673,Q06689,Q06698,Q06821,Q06833,Q06839,Q07349,Q07362,Q07379,Q07451,Q07454,Q07505,Q07541,Q07589,Q07716,Q07834,Q07895,Q07897,Q07986,Q08001,Q08157,Q08206,Q08213,Q08223,Q08229,Q08232,Q08281,Q08300,Q08634,Q08687,Q08729,Q08742,Q08743,Q08748,Q08816,Q08822,Q08908,Q08926,Q08930,Q08954,Q08968,Q08971,Q08977,Q08979,Q12008,Q12012,Q12015,Q12025,Q12029,Q12032,Q12044,Q12057,Q12082,Q12084,Q12100,Q12108,Q12117,Q12134,Q12139,Q12144,Q12155,Q12160,Q12179,Q12204,Q12239,Q12244,Q12259,Q12270,Q12274,Q12275,Q12298,Q12305,Q12326,Q12331,Q12335,Q12454,Q12480,Q12486,Q12489,Q12493,Q12496,Q12497,Q12498,Q12510,Q12515,Q12523,Q12697,Q2V2P1,Q2V2P4,Q2V2P7,Q2V2P9,Q3E6R5,Q3E747,Q3E756,Q3E772,Q3E776,Q3E793,Q3E795,Q3E7A3,Q3E7B7,Q3E7Z5,Q3E824,Q3E841,Q86ZR7,Q8J0M4,Q8TGJ3,Q8TGU7,Q96VH4,Q99210,Q99247,Q99296,Q99325,Q99369
GO:0008152	p	metabolic process	29/1159	36/1159	0.451	1.16e+03	1.07e+03	1.13e+03	n.a.	P01120,P13587,P20424,P21576,P25371,P32468,P33302,P36015,P36018,P38116,P38219,P38777,P38884,P39986,P40024,P40053,P43535,P53219,P53742,P53889,P53914,Q02647,Q02961,Q04223,Q08742,Q12305,Q12447,Q12496,Q99287	P01119,P01120,P02557,P06776,P06780,P06781,P08539,P08964,P09733,P09734,P10823,P12866,P13586,P13587,P13856,P14772,P17119,P19073,P19524,P20424,P20606,P21576,P25342,P25371,P25378,P27895,P28737,P28742,P32266,P32364,P32381,P32386,P32468,P32478,P32568,P32644,P32660,P32794,P32836,P32839,P33302,P33310,P33311,P34222,P36006,P36015,P36016,P36017,P36018,P36022,P36057,P36069,P36224,P38116,P38146,P38219,P38297,P38735,P38777,P38884,P38885,P38929,P38987,P38995,P39524,P39721,P39722,P39955,P39986,P39994,P40024,P40037,P40053,P40328,P40416,P40527,P40533,P40892,P40960,P40994,P42835,P43535,P43569,P43599,P46958,P47122,P47173,P53049,P53086,P53100,P53145,P53219,P53378,P53615,P53742,P53839,P53879,P53889,P53893,P53914,P53949,P54861,Q00245,Q00246,Q01896,Q02647,Q02785,Q02804,Q02961,Q03652,Q04182,Q04223,Q04336,Q04439,Q04949,Q05015,Q06543,Q06567,Q06698,Q07505,Q07688,Q07844,Q08234,Q08726,Q08742,Q12032,Q12212,Q12275,Q12298,Q12305,Q12447,Q12486,Q12496,Q12674,Q12675,Q12697,Q86ZR7,Q99260,Q99287,Q99369
GO:0008154	p	actin polymerization or depolymerization	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P17536	P17536,P40414
GO:0008168	p	methyltransferase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04371	P04161,P14908,P36056,P38892,P53336,Q04371,Q04867
GO:0008176	p	tRNA (guanine-N7-)-methyltransferase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q03774	Q03774,Q12009
GO:0008177	p	succinate dehydrogenase (ubiquinone) activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q00711	P21801,P33421,P37298,Q00711
GO:0008180	e	COP9 signalosome	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12250,Q12348	P47130,Q03981,Q12250,Q12468
GO:0008184	p	glycogen phosphorylase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06738	P06738
GO:0008186	e	RNA-dependent ATPase activity	8/1159	4/1159	0.386	995	919	970	n.a.	P10081,P20095,P20447,P20448,P20449,P24783,Q00416,Q03532	P10081,P15938,P20095,P20447,P20448,P20449,P21372,P24783,P30771,P38712,P45818,Q00416,Q03532
GO:0008198	p	ferrous iron binding	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P29509,Q07540	P29509,P40032,P47096,P47138,Q03020,Q07540
GO:0008199	e	ferric iron binding	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q07540	
GO:0008233	p	peptidase activity	3/1159	5/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P0C2I9,Q03434,Q12472	O13535,P07267,P0C2I6,P0C2I9,P0C2J0,P0C2J1,P0CX63,P15367,P38149,P46965,P47024,P47098,P47100,P53871,Q03434,Q04214,Q04471,Q04670,Q04969,Q12112,Q12133,Q12273,Q12414,Q12490,Q12491,Q99337
GO:0008234	p	cysteine-type peptidase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q02724	P40537,P49018,Q01532,Q02724
GO:0008237	p	metallopeptidase activity	4/1159	5/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P37302,P37898,P39925,P43588	P37302,P37898,P38149,P38244,P38821,P39925,P40051,P40341,P40462,P40483,P43588,Q03862,Q07825,Q08225,Q08693,Q10740
GO:0008242	p	omega peptidase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P43616	P38149,P38237,P43616,P53871
GO:0008250	p	oligosaccharyltransferase complex	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P46964	P33767,P39007,P41543,P46964,P48439,Q02795,Q03723,Q92316
GO:0008251	e	tRNA-specific adenosine deaminase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q9URQ3	
GO:0008262	e	importin-alpha export receptor activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P52918	
GO:0008266	e	poly(U) RNA binding	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53725,Q05022	P32588,P53725,Q05022
GO:0008270	e	zinc ion binding	48/1159	36/1159	0.221	570	548	555	n.a.	P00330,P00331,P00815,P04037,P05694,P07246,P10964,P12383,P14540,P19812,P21951,P22936,P25502,P29055,P29056,P29952,P32454,P32771,P36124,P37898,P38071,P38140,P38157,P38806,P39001,P39010,P39714,P39925,P40825,P43609,P50104,P53909,Q02336,Q02775,Q03012,Q03102,Q04673,Q04779,Q04894,Q05580,Q05958,Q06639,Q07457,Q08422,Q08923,Q12178,Q12186,Q9URQ3	P00330,P00331,P00812,P00815,P04037,P04051,P05373,P05694,P06700,P06773,P07246,P07273,P08638,P10862,P10964,P12383,P12868,P14540,P14904,P15303,P18494,P18898,P19812,P20133,P21657,P21951,P22007,P22139,P22470,P22855,P22936,P25502,P27801,P27999,P28519,P28625,P29055,P29056,P29952,P30771,P32325,P32454,P32529,P32601,P32770,P32771,P32849,P32914,P32917,P34228,P34233,P34909,P35183,P35688,P35728,P36096,P36106,P36119,P36124,P36166,P37898,P38071,P38113,P38207,P38230,P38237,P38239,P38748,P38781,P38810,P38821,P38836,P39001,P39010,P39083,P39113,P39529,P39702,P39713,P39714,P39720,P39925,P39945,P40318,P40341,P40422,P40462,P40467,P40482,P40507,P40825,P40971,P42836,P42844,P42944,P43589,P43609,P46677,P46974,P47024,P47095,P50102,P50947,P53238,P53303,P53615,P53685,P53686,P53849,P53899,P53909,P53912,P53924,P53953,P53971,Q02336,Q02775,Q02883,Q03012,Q03067,Q03102,Q03290,Q03631,Q03760,Q04195,Q04307,Q04370,Q04638,Q04673,Q04779,Q04781,Q04894,Q05580,Q05584,Q05854,Q05900,Q05958,Q06407,Q06436,Q06549,Q06554,Q06639,Q06651,Q06696,Q07350,Q07457,Q07729,Q07963,Q08004,Q08109,Q08273,Q08281,Q08422,Q08562,Q08904,Q08923,Q10740,Q12006,Q12013,Q12139,Q12151,Q12178,Q12180,Q12186,Q12244,Q12311,Q12362,Q12476
GO:0008280	e	cohesin core heterodimer	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P47037	
GO:0008289	p	lipid binding	7/1159	10/1159	0.628	1.62e+03	1.36e+03	1.58e+03	n.a.	P22943,P25343,P31787,P53252,Q02201,Q05779,Q12230	P14306,P22943,P25343,P31787,P35843,P35844,P35845,P36068,P38250,P38713,P38755,P39743,P48231,P53252,Q02201,Q03640,Q05779,Q05785,Q06833,Q12230,Q12451,Q12466,Q12518
GO:0008290	p	F-actin capping protein complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P28495	P13517,P28495
GO:0008295	p	spermidine biosynthetic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12074	P21182,Q12074
GO:0008296	e	3'-5'-exodeoxyribonuclease activity	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15436,P22936	P15436,P22936,P32829,P34220
GO:0008298	e	intracellular mRNA localization	7/1159	6/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P06105,P17536,P27692,P38199,P38934,P39705,P43586	P06105,P17536,P24276,P27692,P30771,P32492,P32914,P36068,P38199,P38272,P38934,P39705,P40414,P43586,P51534,Q07807
GO:0008299	e	isoprenoid biosynthetic process	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P08524,P12684,P29704,P54839	P08524,P12684,P18900,P29704,P32378,P54839
GO:0008301	e	DNA binding, bending	6/1159	3/1159	0.507	1.31e+03	1.16e+03	1.27e+03	n.a.	P11632,P11633,P13393,P32504,Q02486,Q03973	P11632,P11633,P11938,P13393,P25042,P32367,P32504,P33339,P34111,Q02486,Q03973,Q12224,Q12308,Q12415
GO:0008308	p	voltage-gated anion channel activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P04840	P04840,P40478
GO:0008310	e	single-stranded DNA 3'-5' exodeoxyribonuclease activity	3/1159	0/1159	0.25	643	615	627	n.a.	P21951,P46957,P47110	
GO:0008311	e	double-stranded DNA 3'-5' exodeoxyribonuclease activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P22936	
GO:0008312	e	7S RNA binding	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P20424,P36160,P38687	P20424,P29478,P36160,P38687,P38688,P38985
GO:0008353	e	RNA polymerase II carboxy-terminal domain kinase activity	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	P23293,P39073	
GO:0008361	p	regulation of cell size	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32432	P06780,P32432,P34761,P38631,P38889,Q00772,Q07655,Q08471
GO:0008379	e	thioredoxin peroxidase activity	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P34227,P34760,P38013,P40553	P23833,P34227,P34760,P38013,P38072,P40553,Q04120
GO:0008380	e	RNA splicing	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P38768,Q06224,Q08647	P10566,P25337,P32335,P38768,P48237,P50102,Q02770,Q06224,Q08647
GO:0008408	e	3'-5' exonuclease activity	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P13382,Q08237	P13382,P15801,P32829,P53331,P54964,Q08237,Q12090
GO:0008409	e	5'-3' exonuclease activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P26793	
GO:0008428	p	ribonuclease inhibitor activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P04147	P04147
GO:0008483	p	transaminase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P48015	P48015,P52892
GO:0008525	e	phosphatidylcholine transporter activity	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P24280,P47008,P53860	P24280,P33324,P47008,P53844,P53860,Q06705
GO:0008526	e	phosphatidylinositol transporter activity	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P24280,P47008,P53860	P24280,P33324,P47008,P53844,P53860,Q06705
GO:0008534	e	oxidized purine nucleobase lesion DNA N-glycosylase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P31378	
GO:0008536	p	Ran GTPase binding	5/1159	5/1159	1	2.57e+03	1.88e+03	2.51e+03	n.a.	P30822,P32499,P33331,P40069,P41920	P30822,P32499,P33307,P33331,P33418,P40069,P41920,P46970,P47123,P53067,Q02932,Q04175,Q06142,Q99189
GO:0008540	e	proteasome regulatory particle, base subcomplex	8/1159	5/1159	0.58	1.49e+03	1.3e+03	1.46e+03	n.a.	P19812,P32565,P33297,P33298,P33299,P40327,P53549,Q01939	P19812,P32565,P33297,P33298,P33299,P38348,P38764,P38886,P40327,P53549,Q01939
GO:0008541	p	proteasome regulatory particle, lid subcomplex	5/1159	5/1159	1	2.57e+03	1.88e+03	2.51e+03	n.a.	P32496,P43588,Q06103,Q12250,Q12377	O13563,O94742,P32496,P40016,P43588,Q04062,Q06103,Q08723,Q12250,Q12377
GO:0008553	p	hydrogen-exporting ATPase activity, phosphorylative mechanism	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P05030	P05030,P19657
GO:0008554	e	sodium-exporting ATPase activity, phosphorylative mechanism	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P13587	
GO:0008556	e	potassium-transporting ATPase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P13587	
GO:0008559	p	xenobiotic-transporting ATPase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P33302	P32568,P33302,P53049
GO:0008565	p	protein transporter activity	4/1159	8/1159	0.386	995	919	970	n.a.	P14906,P30822,P40069,Q02821	O74700,P14906,P21825,P25386,P27351,P30822,P32337,P32767,P32913,P33754,P34110,P35181,P36000,P38065,P38759,P39742,P40069,P40094,P40335,P46970,P47064,P53067,P53299,P57744,P87108,Q00381,Q02821,Q02932,Q04175,Q06142,Q08951,Q12028,Q92331
GO:0008574	p	ATP-dependent microtubule motor activity, plus-end-directed	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q02647	P27895,P40960,P53086,Q02647
GO:0008599	p	protein phosphatase type 1 regulator activity	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P25694	P25694,P27637,P28006,P34223,P39732,P40187,Q00816,Q03016
GO:0008603	p	cAMP-dependent protein kinase regulator activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P07278	P07278
GO:0008608	e	attachment of spindle microtubules to kinetochore	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53168,P53267	P35734,P36131,P36162,P38313,P53168,P53267,P53298,P69850,P69851,Q02732,Q03954,Q12248
GO:0008612	e	peptidyl-lysine modification to peptidyl-hypusine	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38791,P47120	P38791,P47120
GO:0008615	e	pyridoxine biosynthetic process	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38075,Q12189	P38075,Q03148,Q12189
GO:0008622	e	epsilon DNA polymerase complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P21951	
GO:0008645	p	hexose transport	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P38695,P39004	P32466,P32467,P38695,P39003,P39004
GO:0008649	p	rRNA methyltransferase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15646	P15646
GO:0008650	e	rRNA (uridine-2'-O-)-methyltransferase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P25582	
GO:0008654	e	phospholipid biosynthetic process	4/1159	3/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P21957,P28274,P40075,P53860	P11986,P21957,P26798,P28274,P32567,P32784,P36148,P38226,P38627,P40075,P53012,P53844,P53860,Q06510,Q08202,Q6Q595
GO:0008655	e	pyrimidine-containing compound salvage	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P18562,Q12178	P18562,P27515,Q04179,Q06549,Q12178
GO:0008677	p	2-dehydropantoate 2-reductase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38787	P38787,Q07589
GO:0008681	e	2-octaprenyl-6-methoxyphenol hydroxylase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P53318	
GO:0008725	e	DNA-3-methyladenine glycosylase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P22134	
GO:0008732	p	L-allo-threonine aldolase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P37303	P37303
GO:0008757	p	S-adenosylmethionine-dependent methyltransferase activity	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P25627,P40493	P25627,P38278,P38347,P38890,P38892,P40481,P40493,Q03648,Q03920,Q04235,Q05874,Q06668,Q12291,Q12463
GO:0008762	p	UDP-N-acetylmuramate dehydrogenase activity	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P39976,P46681	P32891,P39976,P46681,P54783
GO:0008793	p	aromatic-amino-acid:2-oxoglutarate aminotransferase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53090	P38840,P53090
GO:0008796	p	bis(5'-nucleosyl)-tetraphosphatase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P16550	P16550,P22108
GO:0008828	p	dATP pyrophosphohydrolase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P47119	P47119
GO:0008897	p	holo-[acyl-carrier-protein] synthase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P19097	P19097
GO:0008936	p	nicotinamidase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53184	P53184
GO:0008941	p	nitric oxide dioxygenase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P39676	P39676
GO:0008948	p	oxaloacetate decarboxylase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P36013	P36013,P40011
GO:0008976	p	polyphosphate kinase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P47075	P47075
GO:0009041	p	uridylate kinase activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15700	P00572,P15700
GO:0009051	p	pentose-phosphate shunt, oxidative branch	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P11412,P38720,P38858	P11412,P38720,P38858,P53315,P53319
GO:0009052	e	pentose-phosphate shunt, non-oxidative branch	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q12189	
GO:0009055	p	electron carrier activity	6/1159	8/1159	0.79	2.03e+03	1.63e+03	1.98e+03	n.a.	P00044,P17695,P21147,P40312,P42940,Q12480	P00044,P00045,P16603,P17695,P21147,P21801,P25349,P25373,P32642,P33421,P36152,P38068,P40312,P42940,P43597,Q02784,Q03835,Q05926,Q12184,Q12438,Q12480,Q12498
GO:0009060	e	aerobic respiration	13/1159	12/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P04037,P04710,P07256,P07257,P17505,P18239,P28239,P38071,P40513,P49017,P53163,P53193,P54113	P00127,P00128,P00401,P00410,P04037,P04710,P07256,P07257,P07286,P08067,P08525,P17505,P18239,P19516,P23493,P28239,P32488,P32567,P32799,P32891,P36139,P37299,P38071,P38330,P40513,P41913,P42900,P49017,P53140,P53163,P53193,P54113,Q03667,Q04341,Q04935,Q07807,Q12001,Q12374,Q99258
GO:0009061	p	anaerobic respiration	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P18239	P18239
GO:0009070	e	serine family amino acid biosynthetic process	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P33330,P37292,P40510	P33330,P37292,P40054,P40510
GO:0009072	p	aromatic amino acid family metabolic process	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53090	P38840,P53090
